carte,categorie,question,reponse,difficulte,theme
3,Sports & Loisirs,Quelle ville japonaise a accueilli les Jeux olympiques d'été reportés d'un an et disputés en 2021 à huis clos ?,Tokyo,1,Villes olympiques
4,Géographie,Quelle île de Méditerranée orientale a pour capitale Nicosie ?,Chypre,1,Îles
4,Divertissement,"Dans le jeu « Among Us », comment appelle-t-on les joueurs chargés de saboter le vaisseau ?",Les imposteurs,2,Jeux vidéo
4,Histoire,"En quelle année le Royaume-Uni, l'Irlande et le Danemark sont-ils entrés dans la CEE ?",1973,2,Construction européenne
4,Arts & Littérature,"Dans « Germinal », comment s'appelle le jeune ouvrier qui arrive à Montsou et mène la grève ?",Étienne Lantier,2,Personnages
4,Sciences & Nature,Quel physicien allemand a découvert les rayons X en 1895 ?,Wilhelm Röntgen,2,Physique
4,Sports & Loisirs,Dans quelle ville de la métropole lyonnaise le club de basket de l'ASVEL a-t-il son siège ?,Villeurbanne,2,Basket – clubs
5,Géographie,"Quel massif, le plus élevé des Carpates, est partagé entre la Slovaquie et la Pologne ?",Les Tatras,3,Montagnes
5,Divertissement,"Quelle artiste américaine, vedette des Folies Bergère, dansait vêtue d'une ceinture de bananes ?",Joséphine Baker,1,Music-hall
5,Histoire,Quelle conférence de 1884-1885 fixe les règles du partage de l'Afrique entre puissances européennes ?,La conférence de Berlin,1,Colonisation
5,Arts & Littérature,"Quel compositeur français a écrit « L'Apprenti sorcier », popularisé par « Fantasia » de Disney ?",Paul Dukas,3,Œuvres
5,Sciences & Nature,Quel astre découvert en 1930 a été reclassé en « planète naine » en 2006 ?,Pluton,1,Astronomie : planètes
5,Sports & Loisirs,Quel entraîneur serbe dirigeait Limoges lors de son titre européen de 1993 ?,Božidar Maljković,3,Basket – clubs
6,Géographie,Quel désert semi-aride couvre une grande partie du Botswana ?,Le Kalahari,2,Déserts
6,Divertissement,Quel animateur présentait le jeu « Le Bigdil » sur TF1 ?,Vincent Lagaf',1,Animateurs
6,Histoire,Quel explorateur descend le Mississippi jusqu'à son embouchure en 1682 et baptise la Louisiane ?,Cavelier de La Salle,3,Colonies
6,Arts & Littérature,"Quel ballet de Stravinsky, créé en 1910, s'inspire d'un conte russe mettant en scène un oiseau magique ?",L'Oiseau de feu,2,Danse
6,Sciences & Nature,Quel test psychologique projectif demande d'interpréter des taches d'encre ?,Le test de Rorschach,1,Psychologie
6,Sports & Loisirs,Quel club italien est surnommé « la Vieille Dame » ?,La Juventus de Turin,1,Football – clubs
7,Géographie,Combien de degrés de longitude couvre un fuseau horaire théorique ?,15°,2,Fuseaux et latitudes
7,Divertissement,De quel astéroïde vient le Petit Prince de Saint-Exupéry ?,L'astéroïde B 612,2,Personnages de fiction
7,Histoire,"Quelle reine, dernière souveraine de l'Égypte ptolémaïque, se donna la mort en 30 av. J.-C. ?",Cléopâtre VII,1,Égypte ancienne
7,Arts & Littérature,"Quel roman d'Harper Lee, paru en 1960, est raconté par la petite Scout Finch, fille d'un avocat de l'Alabama ?",Ne tirez pas sur l'oiseau moqueur,2,Littérature américaine
7,Sciences & Nature,Quel insecte Napoléon Ier choisit-il comme emblème pour remplacer la fleur de lys ?,L'abeille,2,Insectes
7,Sports & Loisirs,"Quel est le score maximal d'une partie de bowling, obtenu en enchaînant douze strikes ?",300,3,Vocabulaire et règles
8,Géographie,Quelle grande ville wallonne est surnommée « la Cité ardente » ?,Liège,2,Belgique
8,Divertissement,Combien de dragons Daenerys Targaryen fait-elle éclore dans « Game of Thrones » ?,Trois,2,Séries américaines
8,Histoire,Quel général a dirigé le Chili de 1973 à 1990 ?,Augusto Pinochet,1,Amérique latine
8,Arts & Littérature,"Quel romancier turc, auteur de « Mon nom est Rouge », reçut le prix Nobel de littérature en 2006 ?",Orhan Pamuk,2,Prix Nobel de littérature
8,Sciences & Nature,Quel liquide transparent baigne le cerveau et la moelle épinière ?,Le liquide céphalorachidien,2,Cerveau et nerfs
8,Sports & Loisirs,Quel gâteau breton très riche en beurre et en sucre a un nom qui signifie « gâteau au beurre » en breton ?,Le kouign-amann,1,Cuisine régionale
9,Géographie,Quelle est la ville la plus peuplée du Brésil ?,São Paulo,1,Grandes villes
9,Divertissement,"Quel chanteur a connu le succès avec « Ces soirées-là », adaptation d'un titre des Four Seasons, en 2000 ?",Yannick,3,Variété française
9,Histoire,Sur quelle île de l'Atlantique Sud Napoléon meurt-il en 1821 ?,Sainte-Hélène,1,Napoléon
9,Arts & Littérature,Quel roman de Jules Verne raconte la survie de quinze jeunes garçons naufragés sur une île ?,Deux ans de vacances,3,Littérature jeunesse
9,Sciences & Nature,Quel psychologue suisse a décrit les grands stades du développement de l'intelligence chez l'enfant ?,Jean Piaget,1,Psychologie
9,Sports & Loisirs,Dans quel pays sont traditionnellement tressés les chapeaux de paille appelés « panamas » ?,L'Équateur,2,Mode
10,Géographie,Quel pays africain est le seul à faire figurer un fusil d'assaut sur son drapeau ?,Le Mozambique,3,Drapeaux
10,Divertissement,Quel chanteur algérien a interprété « Aïcha » en 1996 ?,Khaled,1,Variété francophone
10,Histoire,Quel dictateur communiste a été exécuté avec son épouse le 25 décembre 1989 ?,Nicolae Ceaușescu,1,Fin de la guerre froide
10,Arts & Littérature,Quelle poétesse chilienne devint en 1945 la première lauréate latino-américaine du prix Nobel de littérature ?,Gabriela Mistral,3,Prix Nobel de littérature
10,Sciences & Nature,Comment appelle-t-on l'ensemble du matériel génétique d'un organisme ?,Le génome,1,Génétique
10,Sports & Loisirs,Comment appelle-t-on l'opération consistant à dissoudre les sucs d'une poêle avec un liquide ?,Déglacer,2,Vocabulaire culinaire
11,Géographie,Quelle ville de Bosnie-Herzégovine est célèbre pour son vieux pont ottoman enjambant la Neretva ?,Mostar,2,Monuments
11,Divertissement,"Quel terminal télématique français, relié à la ligne téléphonique, a précédé Internet dans les foyers ?",Le Minitel,1,Internet
11,Histoire,Quel chef germanique déposa le dernier empereur romain d'Occident en 476 ?,Odoacre,3,Rome antique
11,Arts & Littérature,Comment appelle-t-on la voix de femme la plus aiguë ?,La soprano,1,Voix
11,Sciences & Nature,Quel anglicisme désigne l'état d'épuisement professionnel ?,Le burn-out,1,Psychologie
11,Sports & Loisirs,Quel nom officiel porte le trophée remis au vainqueur de la Coupe de France de football ?,La coupe Charles-Simon,3,Football – compétitions
12,Géographie,Dans la cour de quel château Napoléon fit-il ses adieux à la Garde impériale en 1814 ?,Fontainebleau,2,Châteaux
12,Divertissement,"Quel DJ suédois, mort en 2018, a signé « Levels » et « Wake Me Up » ?",Avicii,2,Électro
12,Histoire,"Quel homme d'État, chef du gouvernement installé à Versailles, fait réprimer la Commune de Paris en 1871 ?",Adolphe Thiers,1,IIIe République
12,Arts & Littérature,"Comment s'appelle le malade imaginaire de Molière, hypocondriaque entouré de médecins ?",Argan,3,Théâtre
12,Sciences & Nature,Combien d'os compte le squelette d'un adulte humain ?,206,1,Os et squelette
12,Sports & Loisirs,Quel gardien allemand a violemment percuté Patrick Battiston lors de France-RFA à Séville en 1982 ?,Harald Schumacher,2,Football – Coupe du monde
13,Géographie,Quel département français porte le numéro 13 ?,Les Bouches-du-Rhône,1,Départements
13,Divertissement,Quel film de 1959 avec Charlton Heston fut le premier à remporter onze Oscars ?,Ben-Hur,3,Oscars
13,Histoire,Quelle reine exerce la régence pendant l'enfance de Louis XIV ?,Anne d'Autriche,2,Louis XIV
13,Arts & Littérature,Quel musée parisien occupe une ancienne gare construite pour l'Exposition universelle de 1900 ?,Le musée d'Orsay,1,Musées
13,Sciences & Nature,Comment appelle-t-on la trace lumineuse laissée dans le ciel par une « étoile filante » ?,Un météore,2,Astronomie : petits corps
13,Sports & Loisirs,"Quel avant, numéro 2, est généralement chargé de lancer le ballon en touche ?",Le talonneur,2,Rugby – règles
14,Géographie,Quelle est la ville la plus peuplée de Nouvelle-Zélande ?,Auckland,2,Grandes villes
14,Divertissement,Quel trompettiste et chanteur de jazz américain était surnommé « Satchmo » ?,Louis Armstrong,1,Jazz
14,Histoire,"Quelle bataille aéronavale de juin 1942, autour d'un atoll du Pacifique, a vu le Japon perdre quatre porte-avions ?",La bataille de Midway,2,Guerre du Pacifique
14,Arts & Littérature,"Quel écrivain soviétique, auteur du « Don paisible », reçut le prix Nobel de littérature en 1965 ?",Mikhaïl Cholokhov,3,Prix Nobel de littérature
14,Sciences & Nature,Quel arbre produit les glands ?,Le chêne,1,Arbres
14,Sports & Loisirs,Quelle discipline équestre consiste à franchir un parcours de barres et de murs sans les faire tomber ?,Le saut d'obstacles,1,Équitation
15,Géographie,Quel est le plus petit État du monde par sa superficie ?,Le Vatican,1,Pays
15,Divertissement,Quelle actrice est la cible d'attaques de volatiles dans « Les Oiseaux » (1963) d'Alfred Hitchcock ?,Tippi Hedren,3,Classiques hollywoodiens
15,Histoire,"Quel poète, chantre de la négritude, fut le premier président du Sénégal indépendant ?",Léopold Sédar Senghor,1,Décolonisation
15,Arts & Littérature,Quel écrivain vaudois a écrit « Derborence » et « La Grande Peur dans la montagne » ?,Charles-Ferdinand Ramuz,3,Francophonie
15,Sciences & Nature,"Quel surnom, qui désigne le petit d'un rapace, fut donné au fils de Napoléon Ier ?",L'Aiglon,1,Noms des petits
15,Sports & Loisirs,Comment appelle-t-on la faute du serveur qui touche la ligne de fond avec le pied avant de frapper la balle ?,Une faute de pied,2,Tennis – règles
16,Géographie,Quel courant froid remonte le long des côtes du Chili et du Pérou ?,Le courant de Humboldt,2,Océans et mers
16,Divertissement,Quel chanteur a interprété « La Montagne » en 1964 ?,Jean Ferrat,1,Chanson française
16,Histoire,Quel groupe de poètes de la Renaissance est mené par Ronsard et Du Bellay ?,La Pléiade,2,Renaissance
16,Arts & Littérature,Quel maître du vaudeville a écrit « Un fil à la patte » et « La Dame de chez Maxim » ?,Georges Feydeau,2,Théâtre
16,Sciences & Nature,Pour l'explication de quel phénomène Albert Einstein a-t-il reçu le prix Nobel de physique ?,L'effet photoélectrique,3,Physique
16,Sports & Loisirs,Quel petit gâteau en forme de coquillage est la spécialité de Commercy ?,La madeleine,1,Pâtisserie
17,Géographie,Quelle est la capitale du Monténégro ?,Podgorica,3,Capitales
17,Divertissement,Quelle encyclopédie en ligne collaborative a été lancée en 2001 par Jimmy Wales et Larry Sanger ?,Wikipédia,1,Internet
17,Histoire,"Dans quelle ville se trouvait le palais d'Hiver, pris d'assaut par les bolcheviks en octobre 1917 ?",Petrograd (Saint-Pétersbourg),1,Révolution russe
17,Arts & Littérature,Quel philosophe allemand a publié en 1807 la « Phénoménologie de l'esprit » ?,Georg Wilhelm Friedrich Hegel,2,Philosophie moderne
17,Sciences & Nature,"Quel arbre du genre Pinus, typique des côtes méditerranéennes, produit les pignons comestibles ?",Le pin parasol,2,Arbres
17,Sports & Loisirs,Quelle nation a battu la France en finale de l'Eurobasket 2022 ?,L'Espagne,2,Basket – compétitions
18,Géographie,Quels deux fleuves se disputent le titre de plus long fleuve du monde ?,Le Nil et l'Amazone,2,Géographie physique
18,Divertissement,Quel acteur incarne le maréchal des logis-chef Cruchot dans « Le Gendarme de Saint-Tropez » (1964) ?,Louis de Funès,1,Comédies françaises
18,Histoire,Quel régime militaire a gouverné la Grèce de 1967 à 1974 ?,La dictature des colonels,3,Europe du Sud
18,Arts & Littérature,Quel instrument à clavier et à tuyaux trône dans la tribune de nombreuses églises ?,L'orgue,1,Instruments
18,Sciences & Nature,Quel oiseau échassier « claquette » ou « craquette » en frappant les deux parties de son bec ?,La cigogne,2,Cris des animaux
18,Sports & Loisirs,Quel athlète français a été sacré champion du monde du décathlon à Londres en 2017 ?,Kevin Mayer,2,Athlétisme
19,Géographie,Quelle est la capitale du sultanat d'Oman ?,Mascate,3,Capitales
19,Divertissement,Quel réseau social de partage de photos a été racheté par Facebook en 2012 ?,Instagram,1,Internet
19,Histoire,En quelle année la grotte de Lascaux a-t-elle été découverte par quatre adolescents ?,1940,2,Préhistoire
19,Arts & Littérature,Quel personnage de Perrault tue ses épouses trop curieuses qui ont ouvert un petit cabinet interdit ?,Barbe-Bleue,1,Contes
19,Sciences & Nature,Quelle sonde européenne a largué le module Philae sur une comète en novembre 2014 ?,Rosetta,2,Espace : missions
19,Sports & Loisirs,Quel crustacé d'eau douce est l'ingrédient principal de la sauce Nantua ?,L'écrevisse,2,Cuisine régionale
20,Géographie,Quelle langue est devenue co-officielle avec l'arabe au Maroc en 2011 ?,L'amazighe (berbère),2,Langues
20,Divertissement,"Quel personnage en blouson de cuir, joué par Henry Winkler, est devenu la star de « Happy Days » ?",Fonzie,2,Sitcoms
20,Histoire,Quel parallèle servait de ligne de démarcation entre les deux Corées avant la guerre de 1950 ?,Le 38e parallèle,2,Guerre de Corée
20,Arts & Littérature,"Comment appelle-t-on les deux points placés sur une voyelle, comme dans « maïs » ?",Le tréma,1,Langue française
20,Sciences & Nature,"Comment appelle-t-on des organes de même origine évolutive, comme le bras humain et l'aile de chauve-souris ?",Des organes homologues,3,Évolution
20,Sports & Loisirs,Pour quelle Exposition universelle la tour Eiffel a-t-elle été construite ?,Celle de 1889,1,Tourisme
21,Géographie,Quelle île des Antilles est partagée entre Haïti et la République dominicaine ?,Hispaniola,2,Amériques
21,Divertissement,Quel chanteur américain a reçu le prix Nobel de littérature en 2016 ?,Bob Dylan,1,Célébrités de la musique
21,Histoire,Près de quelle localité des Hauts-de-Seine le général de Gaulle a-t-il échappé à un attentat de l'OAS en août 1962 ?,Le Petit-Clamart,2,Ve République
21,Arts & Littérature,Quel mot est employé dans plusieurs cantons suisses romands pour dire « quatre-vingts » ?,Huitante,2,Francophonie
21,Sciences & Nature,Quel est l'âge approximatif de l'Univers selon les estimations des astronomes ?,"13,8 milliards d'années",2,Astronomie : cosmologie
21,Sports & Loisirs,Comment appelle-t-on l'art de tailler les arbres et les arbustes en formes géométriques ou animales ?,L'art topiaire,2,Jardinage
22,Géographie,Quelle ancienne ville minière du Pas-de-Calais accueille depuis 2012 une antenne du musée du Louvre ?,Lens,2,Villes
22,Divertissement,Quel lieutenant en imperméable froissé revient toujours poser « une dernière question » ?,Columbo,1,Séries américaines
22,Histoire,Quelle ville d'Éthiopie est célèbre pour ses églises médiévales entièrement taillées dans le roc ?,Lalibela,3,Afrique médiévale
22,Arts & Littérature,"Quel photographe français, cofondateur de l'agence Magnum, a théorisé « l'instant décisif » ?",Henri Cartier-Bresson,1,Photographie
22,Sciences & Nature,"Quel nombre, 10 puissance 100, a inspiré le nom d'un célèbre moteur de recherche ?",Le gogol (googol),2,Mathématiques
22,Sports & Loisirs,"Quel animal virtuel électronique en forme d'œuf, qu'il fallait nourrir et soigner, a été lancé au Japon en 1996 ?",Le Tamagotchi,1,Jouets
23,Géographie,Quelle ville indienne a été conçue dans les années 1950 par Le Corbusier ?,Chandigarh,2,Grandes villes
23,Divertissement,"Quelle émission de M6, diffusée en 2001 avec Loana parmi les candidats, est considérée comme la première téléréalité française ?",Loft Story,1,Téléréalité
23,Histoire,"Quel Allemand fut le premier président de la Commission de la CEE, de 1958 à 1967 ?",Walter Hallstein,3,Construction européenne
23,Arts & Littérature,Combien de noires vaut une ronde ?,Quatre,1,Solfège
23,Sciences & Nature,"Quels prix parodiques récompensent chaque année des recherches qui « font d'abord rire, puis réfléchir » ?",Les prix Ig Nobel,2,Grands scientifiques
23,Sports & Loisirs,Près de quelle ville de la Vienne se trouve le parc du Futuroscope ?,Poitiers,2,Tourisme
24,Géographie,Quelle ville est la préfecture du département du Jura ?,Lons-le-Saunier,3,Préfectures
24,Divertissement,"Quel acteur incarne Assane Diop, gentleman cambrioleur, dans la série Netflix « Lupin » ?",Omar Sy,1,Séries françaises
24,Histoire,"Quel texte l'Assemblée générale de l'ONU a-t-elle adopté à Paris, au palais de Chaillot, en décembre 1948 ?",La Déclaration universelle (DUDH),1,Relations internationales
24,Arts & Littérature,"Quel poète russe, auteur d'« Eugène Onéguine », est mort des suites d'un duel en 1837 ?",Alexandre Pouchkine,2,Littérature russe
24,Sciences & Nature,De quel élément chimique le diamant et le graphite sont-ils tous deux constitués ?,Le carbone,1,Géologie
24,Sports & Loisirs,Quel skieur autrichien avait déjà réalisé le triplé en ski alpin aux Jeux de Cortina d'Ampezzo en 1956 ?,Toni Sailer,3,Sports d'hiver
25,Géographie,Quelle ville de Charente-Maritime a son Vieux-Port gardé par la tour de la Chaîne et la tour Saint-Nicolas ?,La Rochelle,1,Villes
25,Divertissement,Quel producteur des Beatles est souvent surnommé le « cinquième Beatle » ?,George Martin,3,Pop-rock britannique
25,Histoire,Dans quelle oasis libyenne Leclerc a-t-il juré en 1941 de ne déposer les armes qu'une fois le drapeau flottant sur Strasbourg ?,Koufra,2,France libre
25,Arts & Littérature,Comment appelle-t-on le tour complet qu'un danseur effectue sur une seule jambe ?,Une pirouette,1,Danse
25,Sciences & Nature,Quel est le muscle le plus volumineux du corps humain ?,Le grand fessier,2,Muscles
25,Sports & Loisirs,Quel joueur portugais a marqué le seul but de la finale de l'Euro 2016 contre la France ?,Éder,2,Football – Euro
26,Géographie,"Comment appelle-t-on la vague qui remonte certains estuaires, comme celui de la Dordogne, lors des grandes marées ?",Le mascaret,2,Fleuves et rivières
26,Divertissement,Quel chanteur ivoirien de reggae a connu le succès avec « Brigadier Sabari » ?,Alpha Blondy,2,Reggae
26,Histoire,Le mur de scène de quel théâtre antique Louis XIV aurait-il qualifié de « plus belle muraille de mon royaume » ?,Le théâtre d'Orange,2,Rome antique
26,Arts & Littérature,"Comment appelle-t-on un tableau représentant des objets inanimés comme des fruits, des fleurs ou de la vaisselle ?",Une nature morte,1,Genres picturaux
26,Sciences & Nature,"Quelle est la planète la plus chaude du Système solaire, en raison de son effet de serre ?",Vénus,2,Astronomie : planètes
26,Sports & Loisirs,"Quel coureur britannique a été le premier à courir le mile en moins de quatre minutes, en 1954 ?",Roger Bannister,2,Athlétisme
27,Géographie,Quel empereur moghol a fait construire le Taj Mahal ?,Shah Jahan,2,Monuments et sites
27,Divertissement,Quelle petite cochonne rose adore sauter dans les flaques de boue dans un dessin animé britannique ?,Peppa Pig,1,Dessins animés
27,Histoire,"Combien d'années dure le règne de Louis XIV, le plus long de l'histoire de France ?",72 ans,2,Louis XIV
27,Arts & Littérature,Dans quelle série de Peyo les Schtroumpfs sont-ils apparus pour la première fois en 1958 ?,Johan et Pirlouit,3,Bande dessinée
27,Sciences & Nature,"Quelle molécule stimulante est présente dans le café, le thé et le cola ?",La caféine,1,Nutrition
27,Sports & Loisirs,Quel vin effervescent espagnol est principalement produit en Catalogne ?,Le cava,2,Vins
28,Géographie,"Quel archipel lusophone de l'Atlantique, au large du Sénégal, a pour capitale Praia ?",Le Cap-Vert,2,Îles
28,Divertissement,"Quelle salle de spectacle du boulevard des Capucines, à Paris, a accueilli Piaf, Brel et les Beatles ?",L'Olympia,1,Salles et festivals
28,Histoire,"Quel général français est tué en 1800 à Marengo, bataille dont il a assuré la victoire ?",Louis Desaix,3,Consulat
28,Arts & Littérature,Quel dramaturge allemand a écrit « L'Opéra de quat'sous » et « Mère Courage et ses enfants » ?,Bertolt Brecht,2,Littérature allemande
28,Sciences & Nature,Dans quel petit organe la bile est-elle stockée entre les repas ?,La vésicule biliaire,1,Digestion
28,Sports & Loisirs,Quel vin mousseux de Vénétie entre dans la recette du spritz ?,Le prosecco,1,Vins
29,Géographie,Quel pays d'Asie du Sud-Est est le seul de la région à n'avoir jamais été colonisé par une puissance européenne ?,La Thaïlande,2,Asie
29,Divertissement,Quel chanteur à la barbe blanche a écrit et interprété « Le Métèque » en 1969 ?,Georges Moustaki,2,Chanson française
29,Histoire,Comment appelle-t-on la révolution pacifique qui a mis fin au régime communiste tchécoslovaque en 1989 ?,La révolution de Velours,2,Fin de la guerre froide
29,Arts & Littérature,"Comment appelle-t-on un mot ou une phrase qui se lit dans les deux sens, comme « Ésope reste ici et se repose » ?",Un palindrome,1,Langue française
29,Sciences & Nature,Quel neurobiologiste français a nommé et caractérisé le sommeil paradoxal à la fin des années 1950 ?,Michel Jouvet,3,Psychologie
29,Sports & Loisirs,Quel pilote britannique a été sacré sept fois champion du monde de Formule 1 entre 2008 et 2020 ?,Lewis Hamilton,1,Sports mécaniques
30,Géographie,Quelle ville du Massachusetts a donné son nom à la « tea party » de 1773 ?,Boston,1,Grandes villes
30,Divertissement,Quel acteur tient le rôle de l'autiste savant Raymond Babbitt dans « Rain Man » (1988) ?,Dustin Hoffman,2,Acteurs
30,Histoire,En quelle année l'arrière-garde de Charlemagne fut-elle massacrée à Roncevaux ?,778,3,Mérovingiens et Carolingiens
30,Arts & Littérature,"Quel jeune homme, épris de son propre reflet dans l'eau, fut changé en fleur ?",Narcisse,1,Mythologie grecque
30,Sciences & Nature,Quelle mathématicienne anglaise a écrit au XIXe siècle ce que l'on considère comme le premier programme informatique ?,Ada Lovelace,2,Mathématiques
30,Sports & Loisirs,"Quel jeu d'ambiance français, conçu par Jean-Louis Roubira, fait retrouver des cartes aux illustrations oniriques à partir d'un indice ?",Dixit,3,Jeux de société
31,Géographie,Quel pays d'Afrique australe a pour capitale Lilongwe et longe le lac Nyassa ?,Le Malawi,3,Pays
31,Divertissement,Quelle chanteuse et actrice est la fille de Serge Gainsbourg et de Jane Birkin ?,Charlotte Gainsbourg,1,Célébrités de la musique
31,Histoire,Quel as de l'aviation allemande était surnommé le « Baron rouge » ?,Manfred von Richthofen,2,Première Guerre mondiale
31,Arts & Littérature,"Quel compositeur italien a écrit « Madame Butterfly », l'histoire d'une geisha abandonnée ?",Giacomo Puccini,1,Opéra
31,Sciences & Nature,Quelle enzyme fait défaut aux personnes intolérantes au lactose ?,La lactase,2,Nutrition
31,Sports & Loisirs,Quelle sélection a remporté la Copa América 2021 en battant le Brésil au Maracanã ?,L'Argentine,3,Football – compétitions
32,Géographie,Quelle ville flamande aux nombreux canaux est surnommée « la Venise du Nord » ?,Bruges,1,Belgique
32,Divertissement,Dans quelle fontaine romaine Anita Ekberg se baigne-t-elle dans « La dolce vita » ?,La fontaine de Trevi,2,Cinéma européen
32,Histoire,Quel gouverneur français tente de bâtir un empire en Inde avant d'être rappelé en France en 1754 ?,Dupleix,3,Colonies
32,Arts & Littérature,Comment appelle-t-on le nom d'emprunt sous lequel un écrivain publie ses livres ?,Un pseudonyme,1,Vocabulaire littéraire
32,Sciences & Nature,Quel est le métal le plus abondant dans la croûte terrestre ?,L'aluminium,2,Chimie : éléments
32,Sports & Loisirs,Comment appelle-t-on la crème de sésame utilisée dans le houmous ?,Le tahini (tahina),2,Cuisine du monde
33,Géographie,Quel titre porte le chef de l'État luxembourgeois ?,Grand-duc,1,Luxembourg
33,Divertissement,"Quel réalisateur a obtenu la Palme d'or 2013 pour « La Vie d'Adèle », partagée avec ses deux actrices ?",Abdellatif Kechiche,3,Festival de Cannes
33,Histoire,"Comment appelle-t-on la guerre israélo-arabe de juin 1967, remportée très rapidement par Israël ?",La guerre des Six Jours,1,Proche-Orient
33,Arts & Littérature,Quelle romancière américaine a écrit « Autant en emporte le vent » ?,Margaret Mitchell,2,Littérature américaine
33,Sciences & Nature,Quel savant anglais a observé en 1665 des « cellules » dans une fine tranche de liège ?,Robert Hooke,3,Grands scientifiques
33,Sports & Loisirs,Quelle pièce occupe chacun des quatre coins de l'échiquier au début d'une partie ?,La tour,1,Échecs
34,Géographie,Quelle est la capitale du Portugal ?,Lisbonne,1,Capitales
34,Divertissement,"Quel instrument électronique se joue sans être touché, en approchant les mains de deux antennes ?",Le thérémine,3,Instruments
34,Histoire,Quel roi de Sparte tomba avec ses 300 hoplites au défilé des Thermopyles ?,Léonidas,1,Grèce antique
34,Arts & Littérature,"Quel dieu nordique, fils d'Odin et de Frigg, fut tué par une arme taillée dans du gui ?",Balder,3,Mythologie nordique
34,Sciences & Nature,Quel alliage est principalement composé de fer et d'un peu de carbone ?,L'acier,1,Chimie : matériaux
34,Sports & Loisirs,Quel surnom a été donné à l'équipe de France masculine de handball victorieuse dans les années 2000-2010 ?,Les Experts,1,Handball – équipe de France
35,Géographie,Quel animal noir figure sur le drapeau rouge de l'Albanie ?,Un aigle à deux têtes,2,Drapeaux
35,Divertissement,Quels félins gardent la salle du trésor dans « Fort Boyard » ?,Des tigres,1,Jeux télé
35,Histoire,Quel nom de code désignait le débarquement anglo-américain en Afrique du Nord en novembre 1942 ?,Opération Torch,3,Seconde Guerre mondiale
35,Arts & Littérature,Quel roi possédait les écuries qu'Héraclès nettoya en un jour en y détournant deux fleuves ?,Augias,1,Mythologie grecque
35,Sciences & Nature,"Selon la tradition, dans quel pays d'Afrique le caféier a-t-il été découvert ?",L'Éthiopie,2,Plantes
35,Sports & Loisirs,"Quelle sauce grecque associe yaourt, concombre râpé, ail et huile d'olive ?",Le tzatziki,1,Cuisine du monde
36,Géographie,Quelle ville est le chef-lieu du canton du Valais ?,Sion,2,Suisse
36,Divertissement,"Quelle chanteuse, surnommée « la Dame en noir », a écrit « L'Aigle noir » ?",Barbara,1,Chanson française
36,Histoire,Quel site archéologique de Terre-Neuve atteste d'une présence viking en Amérique ?,L'Anse aux Meadows,3,Vikings et Europe du Nord
36,Arts & Littérature,Quel photographe a publié en 1999 le livre à succès « La Terre vue du ciel » ?,Yann Arthus-Bertrand,1,Photographie
36,Sciences & Nature,Quel nuage d'orage peut s'élever sur plus de 10 km et prendre la forme d'une enclume ?,Le cumulonimbus,2,Météorologie
36,Sports & Loisirs,Quel fromage bourguignon à croûte orangée est lavé au marc de Bourgogne ?,L'époisses,2,Fromages
37,Géographie,Quel gratte-ciel new-yorkais King Kong escalade-t-il dans le film de 1933 ?,L'Empire State Building,1,Monuments et sites
